pi_pairs1,pi_pairs2,h_pairs1,h_pairs2,nh4_pairs,other_pairs
"atp_c,adp_c","ctp_c,cdp_c","nadp_c,nadph_c","fad_c,fadh2_c","glu__L_c,gln__L_c","pep_c,pyr_c"
"atp_e,adp_e","ctp_e,cdp_e","nadp_p,nadph_p","fad_p,fadh2_p","glu__L_e,gln__L_e","thf_c,mlthf_c"
"atp_p,adp_p","ctp_p,cdp_p","nadp_e,nadph_e","fad_e,fadh2_e","glu__L_p,gln__L_p","10fthf_c,thf_c"
,"gtp_c,gdp_c","nad_c,nadh_c","q8_c,q8h2_c","akg_c,glu__L_c","5fthf_c,thf_c"
,"gtp_e,gdp_e","nad_p,nadh_p","q8_p,q8h2_p","akg_e,glu__L_e","methf_c,thf_c"
,"gtp_p,gdp_p","nad_e,nadh_e","q8_e,q8h2_e","akg_p,glu__L_p","mlthf_c,dhf_c"
,"itp_c,idp_c",,"mql8_c,mqn8_c",,"5mthf_c,thf_c"
,"itp_e,idp_e",,"mql8_p,mqn8_p",,"amet_c,ahcys_c"
,"itp_p,idp_p",,"mql8_e,mqn8_e",,"amet_c,met__L_c"
,"utp_c,udp_c",,"2dmmql8_c,2dmmq8_c",,"accoa_c,ac_c"
,"utp_e,udp_e",,"2dmmql8_p,2dmmq8_p",,"ala__L_c,pyr_c"
,"utp_p,udp_p",,"gthrd_c,gthox_c",,"ala__L_e,pyr_e"
,"xtp_c,xdp_c",,"2dmmql8_e,2dmmq8_e",,"ala__L_p,pyr_p"
,"xtp_e,xdp_e",,"fmnh2_c,fmn_c",,"ala__D_c,pyr_c"
,"xtp_p,xdp_p",,"fmnh2_e,fmn_e",,"succ_c,succ_p"
,"datp_c,dadp_c",,"fmnh2_p,fmn_p",,"glu__L_p,glu__L_c"
,"datp_e,dadp_e",,"fe3hox_c,fe3hox_un_c",,
,"datp_p,dadp_p",,"feenter_c,enter_c",,
,"dctp_c,dcdp_c",,,,
,"dctp_e,dcdp_e",,,,
,"dctp_p,dcdp_p",,,,
,"dgtp_c,dgdp_c",,,,
,"dgtp_e,dgdp_e",,,,
,"dgtp_p,dgdp_p",,,,
,"ditp_c,didp_c",,,,
,"ditp_e,didp_e",,,,
,"ditp_p,didp_p",,,,
,"dutp_c,dudp_c",,,,
,"dutp_e,dudp_e",,,,
,"dutp_p,dudp_p",,,,
,"dttp_c,dtdp_c",,,,
,"dttp_e,dtdp_e",,,,
,"dttp_p,dtdp_p",,,,
,"atp_c,amp_c",,,,
,"atp_e,amp_e",,,,
,"atp_p,amp_p",,,,
,"ctp_c,cmp_c",,,,
,"ctp_e,cmp_e",,,,
,"ctp_p,cmp_p",,,,
,"gtp_c,gmp_c",,,,
,"gtp_e,gmp_e",,,,
,"gtp_p,gmp_p",,,,
,"itp_c,imp_c",,,,
,"itp_e,imp_e",,,,
,"itp_p,imp_p",,,,
,"utp_c,ump_c",,,,
,"utp_e,ump_e",,,,
,"utp_p,ump_p",,,,
,"xtp_c,xmp_c",,,,
,"xtp_e,xmp_e",,,,
,"xtp_p,xmp_p",,,,
,"datp_c,damp_c",,,,
,"datp_e,damp_e",,,,
,"datp_p,damp_p",,,,
,"dctp_c,dcmp_c",,,,
,"dctp_e,dcmp_e",,,,
,"dctp_p,dcmp_p",,,,
,"dgtp_c,dgmp_c",,,,
,"dgtp_e,dgmp_e",,,,
,"dgtp_p,dgmp_p",,,,
,"ditp_c,dimp_c",,,,
,"ditp_e,dimp_e",,,,
,"ditp_p,dimp_p",,,,
,"dutp_c,dump_c",,,,
,"dutp_e,dump_e",,,,
,"dutp_p,dump_p",,,,
,"dttp_c,dtmp_c",,,,
,"dttp_e,dtmp_e",,,,
,"dttp_p,dtmp_p",,,,
,"adp_c,amp_c",,,,
,"adp_e,amp_e",,,,
,"adp_p,amp_p",,,,
,"cdp_c,cmp_c",,,,
,"cdp_e,cmp_e",,,,
,"cdp_p,cmp_p",,,,
,"gdp_c,gmp_c",,,,
,"gdp_e,gmp_e",,,,
,"gdp_p,gmp_p",,,,
,"idp_c,imp_c",,,,
,"idp_e,imp_e",,,,
,"idp_p,imp_p",,,,
,"udp_c,ump_c",,,,
,"udp_e,ump_e",,,,
,"udp_p,ump_p",,,,
,"xdp_c,xmp_c",,,,
,"xdp_e,xmp_e",,,,
,"xdp_p,xmp_p",,,,
,"dadp_c,damp_c",,,,
,"dadp_e,damp_e",,,,
,"dadp_p,damp_p",,,,
,"dcdp_c,dcmp_c",,,,
,"dcdp_e,dcmp_e",,,,
,"dcdp_p,dcmp_p",,,,
,"dgdp_c,dgmp_c",,,,
,"dgdp_e,dgmp_e",,,,
,"dgdp_p,dgmp_p",,,,
,"didp_c,dimp_c",,,,
,"didp_e,dimp_e",,,,
,"didp_p,dimp_p",,,,
,"dudp_c,dump_c",,,,
,"dudp_e,dump_e",,,,
,"dudp_p,dump_p",,,,
,"dtdp_c,dtmp_c",,,,
,"dtdp_e,dtmp_e",,,,
,"dtdp_p,dtmp_p",,,,
