no carbon metabolites,ions,excluded
h2_c,ag_c,co2_c
h2_e,ag_e,co2_e
h2_p,ag_p,co2_p
h2o_c,ca2_c,hco3_c
h2o_e,ca2_e,hco3_p
h2o_p,ca2_p,hco3_e
h2o2_c,cl_c,ACP_c
h2o2_e,cl_e,
h2o2_p,cl_p,
nh4_c,cd2_c,
nh4_e,cd2_e,
nh4_p,cd2_p,
o2_c,cu_c,
o2_e,cu_e,
o2_p,cu_p,
pi_c,cu2_c,
pi_e,cu2_e,
pi_p,cu2_p,
ppi_c,cobalt2_c,
pppi_c,cobalt2_e,
no_p,cobalt2_p,
no3_p,fe2_c,
no3_e,fe2_e,
no_c,fe2_p,
no2_c,fe3_c,
no_e,fe3_e,
no3_c,fe3_p,
no2_e,hg2_c,
no2_p,hg2_e,
n2o_c,hg2_p,
n2o_e,k_c,
n2o_p,k_e,
h2s_c,k_p,
h2s_p,mg2_c,
h2s_e,mg2_e,
o2s_c,mg2_p,
o2s_p,mn2_c,
o2s_e,mn2_e,
,mn2_p,
,zn2_c,
,zn2_e,
,zn2_p,
,so3_c,
,so3_p,
,so2_e,
,so4_e,
,so4_c,
,so4_p,
,so3_e,
,so2_c,
,so2_p,
,h_c,
,h_e,
,h_p,
